spot_id,timestamp,vehicle_present,obstruction,confidence
B-04,2026-09-20 09:32:00,False,none,0.9
B-04,2026-09-20 10:15:00,False,none,0.85
B-04,2026-09-20 11:07:00,False,none,0.92
B-04,2026-09-20 11:56:00,False,none,0.94
B-04,2026-09-20 12:46:00,False,tree,0.64
B-04,2026-09-20 13:27:00,False,none,0.9
B-04,2026-09-20 14:22:00,False,none,0.91
B-05,2026-09-20 08:04:00,True,none,0.94
B-05,2026-09-20 08:52:00,True,none,0.86
B-05,2026-09-20 09:39:00,True,tree,0.64
B-05,2026-09-20 10:23:00,True,none,0.91
B-05,2026-09-20 11:12:00,True,none,0.89
B-05,2026-09-20 12:04:00,True,none,0.88
B-05,2026-09-20 12:48:00,False,none,0.9
B-05,2026-09-20 13:35:00,False,none,0.92
B-05,2026-09-20 14:16:00,True,none,0.92
B-06,2026-09-20 08:02:00,True,shadow,0.7
B-06,2026-09-20 08:57:00,True,none,0.86
B-06,2026-09-20 09:36:00,True,glare,0.62
B-06,2026-09-20 10:21:00,True,glare,0.76
B-06,2026-09-20 11:16:00,True,none,0.86
B-06,2026-09-20 12:07:00,True,glare,0.57
B-06,2026-09-20 12:58:00,False,tree,0.52
B-06,2026-09-20 13:51:00,False,glare,0.61
B-06,2026-09-20 14:26:00,False,none,0.87
B-07,2026-09-20 08:12:00,False,tree,0.6
B-07,2026-09-20 08:54:00,True,shadow,0.65
B-07,2026-09-20 08:55:00,False,none,0.94
B-07,2026-09-20 09:45:00,True,tree,0.36
B-07,2026-09-20 10:35:00,True,none,0.96
B-07,2026-09-20 11:17:00,True,glare,0.71
B-07,2026-09-20 12:06:00,True,shadow,0.8
B-07,2026-09-20 12:50:00,True,none,0.94
B-07,2026-09-20 13:27:00,True,tree,0.57
B-07,2026-09-20 14:11:00,False,tree,0.68
C-01,2026-09-20 08:03:00,True,glare,0.58
C-01,2026-09-20 08:52:00,True,shadow,0.61
C-01,2026-09-20 09:36:00,False,none,0.98
C-01,2026-09-20 10:25:00,False,none,0.96
C-01,2026-09-20 11:14:00,False,none,0.9
C-01,2026-09-20 11:55:00,True,none,0.93
C-01,2026-09-20 12:46:00,False,none,0.98
C-01,2026-09-20 13:41:00,False,tree,0.62
C-01,2026-09-20 14:31:00,False,tree,0.27
C-02,2026-09-20 08:12:00,False,glare,0.6
C-02,2026-09-20 08:57:00,False,none,0.9
C-02,2026-09-20 09:44:00,False,none,0.98
C-02,2026-09-20 10:19:00,False,glare,0.62
C-02,2026-09-20 11:12:00,False,none,0.9
C-02,2026-09-20 11:55:00,True,none,0.89
C-02,2026-09-20 12:39:00,True,glare,0.73
C-02,2026-09-20 13:30:00,True,none,0.88
C-02,2026-09-20 14:18:00,True,none,0.96
C-03,2026-09-20 08:17:00,True,glare,0.47
C-03,2026-09-20 09:11:00,True,none,0.94
C-03,2026-09-20 09:47:00,True,tree,0.52
C-03,2026-09-20 10:31:00,True,none,0.95
C-03,2026-09-20 11:14:00,True,shadow,0.73
C-03,2026-09-20 12:01:00,True,none,0.87
C-03,2026-09-20 12:42:00,True,tree,0.63
C-03,2026-09-20 13:27:00,True,shadow,0.65
C-03,2026-09-20 14:07:00,True,none,0.93
C-04,2026-09-20 08:08:00,True,none,0.95
C-04,2026-09-20 08:56:00,True,glare,0.65
C-04,2026-09-20 09:32:00,False,shadow,0.55
C-04,2026-09-20 10:23:00,False,tree,0.52
C-04,2026-09-20 11:06:00,False,none,0.9
C-04,2026-09-20 11:54:00,False,none,0.97
C-04,2026-09-20 12:29:00,False,none,0.85
C-04,2026-09-20 13:19:00,False,tree,0.65
C-04,2026-09-20 14:10:00,True,shadow,0.79
C-05,2026-09-20 08:04:00,True,glare,0.58
C-05,2026-09-20 08:41:00,False,tree,0.71
C-05,2026-09-20 09:34:00,False,none,0.94
C-05,2026-09-20 10:13:00,False,glare,0.56
C-05,2026-09-20 10:51:00,False,none,0.86
C-05,2026-09-20 11:44:00,False,tree,0.3
C-05,2026-09-20 12:38:00,False,none,0.85
C-05,2026-09-20 13:27:00,False,none,0.98
C-05,2026-09-20 14:09:00,True,shadow,0.66
C-06,2026-09-20 08:20:00,False,none,0.85
C-06,2026-09-20 09:15:00,False,shadow,0.67
C-06,2026-09-20 10:01:00,False,none,0.92
C-06,2026-09-20 10:49:00,False,none,0.95
C-06,2026-09-20 11:33:00,False,glare,0.75
C-06,2026-09-20 12:14:00,False,none,0.96
C-06,2026-09-20 13:03:00,False,none,0.89
C-06,2026-09-20 13:41:00,False,tree,0.63
C-06,2026-09-20 14:29:00,False,glare,0.54
